tour_id,Nama Lengkap,Jenis Kelamin,Nomor HP,Nomor WhatsApp,Agama,Usia,Kategori,Rating,Tempat Lahir,Tanggal Lahir,Asal Kota,Kategori Berdasarkan Diatas
463,Citra Wardani,Perempuan,82134567890,82134567890,Hindu,24,"Gunung, Alam",2.5,Binjai,13 Februari 1997,Malang,"Gunung, Alam"
464,Budi Cahyono,Laki-laki,85670123456,85612345678,Hindu,25,Wisata Edukasi,4.6,Jember,26 Oktober 1998,Malang,Wisata Edukasi
465,Mega Indriani,Perempuan,83198765432,83198765432,Buddha,26,"Alam, Glamping",2.1,Pematangsiantar,13 Februari 1998,Malang,"Alam, Glamping"
466,Hari Susanto,Laki-laki,89876543210,81376543210,Buddha,29,"Alam, Pemandian",4.4,Cirebon,7 Mei 1995,Malang,"Alam, Pemandian"
467,Ratna Permata,Perempuan,81376543210,87609876543,Kristen,23,Religi,3.7,Tegal,23 Juli 2001,Malang,Religi
468,Surya Wijaya,Laki-laki,87609876543,85670123456,Kristen,28,"Kuliner, Wisata Alam",2.3,Sungai Penuh,28 Januari 1995,Malang,"Kuliner, Wisata Alam"
469,Indah Purnama,Perempuan,82345678901,82345678901,Kristen,23,Agrowisata,4.7,Klaten,25 Januari 1992,Malang,Agrowisata
470,Dodi Prasetyo,Laki-laki,85612345678,81112233445,Kristen,25,Taman Nasional,2.5,Singaparna,28 Juni 1999,Malang,Taman Nasional
471,Retno Wulandari,Perempuan,81112233445,87654321234,Kristen,26,"Sejarah, Budaya",4.1,Gunungsitoli,19 Oktober 1998,Malang,"Sejarah, Budaya"
472,Adi Nugroho,Laki-laki,87654321234,85670987654,Hindu,23,"Pantai, Alam",3.6,Ponorogo,8 Agustus 2001,Malang,"Pantai, Alam"
473,Nita Dewi,Perempuan,82134567890,81234567890,Islam,30,Taman Kota,2.4,Padang Sidempuan,12 Januari 1994,Malang,Taman Kota
474,Hari Setiawan,Laki-laki,85670123456,89876543210,Islam,29,Pantai,4.8,Sumedang,4 Maret 1995,Malang,Pantai
475,Maya Fitri,Perempuan,83198765432,82134567890,Islam,25,Wisata Budaya,3,Sibolga,10 Mei 1990,Malang,Wisata Budaya
476,Joko Santoso,Laki-laki,89876543210,85612345678,Islam,27,Taman Rekreasi,4.2,Melonguane,9 Juli 1997,Malang,Taman Rekreasi
477,Ratna Susanti,Perempuan,81376543210,83198765432,Islam,24,Kebun Binatang,3.5,Tondano,5 Desember 2000,Malang,"Kebun Binatang, Museum"
478,Surya Wijaya,Laki-laki,87609876543,81376543210,Islam,26,Alam,2.8,Pariaman,14 Mei 1998,Malang,Alam
479,Indah Puspitasari,Perempuan,82345678901,87609876543,Islam,23,Taman Hiburan,4.5,Tanjung Enim,17 Mei 1998,Malang,Taman Hiburan
480,Dodi Nugroho,Laki-laki,85612345678,85670123456,Islam,29,Pantai,2.2,Palopo,25 Juni 1995,Malang,Pantai
481,Retno Setyawati,Perempuan,81112233445,82345678901,Islam,25,Cagar Alam,4,Cilacap,16 Agustus 1999,Malang,Cagar Alam
482,Adi Kusuma,Laki-laki,87654321234,81112233445,Islam,26,Tempat Ibadah,3.9,Sumedang,21 Februari 1999,Malang,Tempat Ibadah
483,Nita Pratiwi,Perempuan,82134567890,87654321234,Islam,28,Pusat Perbelanjaan,2.6,Bangkalan,28 Oktober 1992,Malang,Pusat Perbelanjaan
484,Hari Susanto,Laki-laki,85670123456,85670987654,Islam,23,Wisata Budaya,4.9,Prabumulih,10 Oktober 2001,Malang,Wisata Budaya
485,Maya Rahayu,Perempuan,83198765432,81234567890,Islam,26,Taman Rekreasi,2.3,Trenggalek,2 Februari 1998,Malang,Taman Rekreasi
486,Joko Wibowo,Laki-laki,89876543210,89876543210,Islam,23,Kebun Binatang,4.3,Sukabumi,21 Mei 2001,Malang,"Kebun Binatang, Museum"
487,Ratna Susilowati,Perempuan,81376543210,82134567890,Islam,24,Museum,3.8,Ngawi,18 Maret 2000,Malang,Museum
488,Surya Purnama,Laki-laki,87609876543,85612345678,Islam,26,Alam,2.7,Lubuk Pakam,6 Juli 1998,Malang,Alam
489,Indah Kusuma,Perempuan,82345678901,83198765432,Hindu,25,"Gunung, Alam",4.6,Majalengka,13 Januari 1999,Malang,"Gunung, Alam"
490,Dodi Santoso,Laki-laki,85612345678,81376543210,Hindu,28,Wisata Edukasi,2.4,Sragen,27 Agustus 1996,Malang,Wisata Edukasi
491,Retno Anggraini,Perempuan,81112233445,87609876543,Buddha,30,"Alam, Glamping",4.4,Gresik,24 Oktober 1994,Malang,"Alam, Glamping"
492,Adi Prasetyo,Laki-laki,87654321234,85670123456,Buddha,29,"Alam, Pemandian",3.7,Pemalang,31 Desember 1995,Malang,"Alam, Pemandian"
493,Nita Purnama,Perempuan,82134567890,82345678901,Kristen,25,Religi,2.9,Sumenep,26 Juni 1999,Malang,Religi
494,Hari Setiawan,Laki-laki,85670123456,81112233445,Kristen,27,"Kuliner, Wisata Alam",4.8,Cilegon,30 Mei 1998,Malang,"Kuliner, Wisata Alam"
495,Maya Dewi,Perempuan,83198765432,87654321234,Kristen,24,Agrowisata,2.1,Purwakarta,29 Maret 2000,Malang,Agrowisata
496,Joko Santoso,Laki-laki,89876543210,85670987654,Kristen,26,Taman Nasional,4.2,Baturaja,9 Oktober 1990,Malang,Taman Nasional
497,Ratna Puspitasari,Perempuan,81376543210,81234567890,Kristen,25,"Sejarah, Budaya",3.6,Trenggalek,7 Juni 1999,Malang,"Sejarah, Budaya"
498,Surya Nugroho,Laki-laki,87609876543,89876543210,Hindu,27,"Pantai, Alam",2.5,Bangil,4 Februari 1997,Malang,"Pantai, Alam"
499,Indah Fitriani,Perempuan,82345678901,82134567890,Islam,24,Taman Kota,4.7,Soppeng,19 Oktober 2000,Malang,Taman Kota
500,Dodi Setiawan,Laki-laki,85612345678,85612345678,Islam,26,Pantai,2.5,Rantepao,11 Mei 1998,Malang,Pantai
